#Type Group, Type, Annotation, Link, Image filename
"note","","Generated by CoGe's NGS Analysis Pipeline","https://genomevolution.org/wiki/index.php?title=LoadExperiment",""
"note","","SNPs generated using Platypus method","",""
"Run.SRR609081.static_data_available","","true","",""
"Submitter.contact_name","","prodinfo_submissions","",""
"Summary.Statistics.cluster_name","","public","",""
"Study.acc","","SRP016814","",""
"Summary.Title","","Illumina whole genome shotgun sequencing of genomic DNA paired-end library 'Pond-181704' containing sample 'Plasmodium falciparum P.fal.MLW.2998' from individual 'P.fal.MLW.2998'","",""
"Summary.Statistics.load_done","","true","",""
"Summary.Platform.content","","ILLUMINA","",""
"Library_descriptor.LIBRARY_STRATEGY","","WGS","",""
"Summary.Statistics.total_runs","","2","",""
"Study.name","","Genome Sequencing of Plasmodium falciparum Malawi strains","",""
"Run.SRR609081.total_spots","","12220706","",""
"Bioproject","","SRP016814","",""
"Experiment.name","","Illumina whole genome shotgun sequencing of genomic DNA paired-end library 'Pond-181704' containing sample 'Plasmodium falciparum P.fal.MLW.2998' from individual 'P.fal.MLW.2998'","",""
"Sample.acc","","SRS471882","",""
"Run.SRR609081.load_done","","true","",""
"Summary.Statistics.total_bases","","4941146442","",""
"Run.SRR609080.is_public","","true","",""
"Run.SRR609080.total_spots","","12240415","",""
"Run.SRR609080.total_bases","","2472563830","",""
"Run.SRR609081.is_public","","true","",""
"Run.SRR609080.load_done","","true","",""
"Library_descriptor.LIBRARY_LAYOUT.PAIRED.NOMINAL_LENGTH","","142","",""
"Run.SRR609081.total_bases","","2468582612","",""
"Experiment.ver","","4","",""
"Run.SRR609080.static_data_available","","true","",""
"Summary.Statistics.total_spots","","24461121","",""
"Sample.name","","","",""
"Library_descriptor.LIBRARY_SOURCE","","GENOMIC","",""
"Library_descriptor.LIBRARY_NAME","","Pond-181704","",""
"Library_descriptor.LIBRARY_LAYOUT.PAIRED.NOMINAL_SDEV","","57.557915","",""
"Organism.ScientificName","","Plasmodium falciparum MLW.2998","",""
"Summary.Statistics.total_size","","2619692124","",""
"Experiment.acc","","SRX201460","",""
"Run.SRR609080.cluster_name","","public","",""
"Submitter.center_name","","BI","",""
"Submitter.acc","","SRA060653","",""
"Submitter.lab_name","","Genome Sequencing","",""
"Run.SRR609081.cluster_name","","public","",""
"Organism.taxid","","1226416","",""
"Experiment.status","","public","",""
"Instrument.ILLUMINA","","Illumina HiSeq 2000","",""
"Library_descriptor.LIBRARY_SELECTION","","RANDOM","",""
"Summary.Platform.instrument_model","","Illumina HiSeq 2000","",""
